Attendance in that particular semester?,Study pattern you follow?,How many hours on an average you have studied in that semester on daily basis?,0 of holidays you had took in that semester?,You Stayed in hostel in that semester?,You had mess food in that semester?,You Drink or Smoke?,You were in relationship in that particular semester?,Studying on Education Loan?,Parental Pressure(Mental or Financial) for studying?,Indulged in any kind of physical activity(Gym/Sports)? ,Avg time given to any kind of college club or community activity on daily basis?,Social Media usage or Gaming on daily basis?,CGPA/TGPA in the selected semester?
1,0,2,1,0,0,0,0,0,0,1,0,3,7.6
1,0,2,1,0,0,0,0,0,0,1,2,3,8.5
2,1,4,0,1,1,0,0,0,0,0,1,1,8.5
1,1,2,0,1,1,0,0,1,0,1,0,2,7.5
1,0,2,2,1,1,0,1,1,0,0,0,1,9.25
3,1,1,1,0,0,0,0,0,0,1,1,1,6.3
2,0,1,1,1,0,1,1,0,0,0,0,5,7.45
2,0,3,0,1,1,0,1,0,0,0,0,1,8.89
0,0,6,2,0,0,0,0,0,1,1,3,3,8.2
1,0,2,0,0,0,0,1,0,0,1,2,1,8.1
2,1,3,0,1,0,0,1,1,0,1,1,1,9.3
2,0,4,1,0,0,0,0,0,0,0,1,3,7.2
1,0,2,0,0,0,0,0,0,0,1,0,2,7.85
2,0,1,0,0,0,0,1,0,0,0,0,1,8.45
3,0,1,0,0,0,0,1,0,0,0,0,1,8.7
3,0,2,0,0,0,0,1,0,0,0,1,3,8.05
2,0,2,1,0,0,0,0,0,0,1,0,2,7.5
1,0,1,1,1,1,1,0,0,0,0,2,3,6.08
2,1,2,0,1,1,0,0,0,0,1,0,2,7.35
1,1,3,2,1,1,0,1,1,0,1,5,2,7
2,0,4,0,1,1,0,0,1,0,1,0,1,9.3
3,0,3,0,1,1,0,0,1,0,1,1,1,9.29
2,0,3,0,1,0,0,0,1,0,1,2,2,9
3,1,4,0,1,0,0,1,1,0,1,2,3,9.21
3,1,3,0,1,0,0,1,1,0,1,3,4,9.3
1,1,2,1,1,1,0,1,0,0,0,2,1,9.23
2,0,3,1,0,0,0,0,1,0,1,2,2,8.15
1,1,2,1,0,0,0,1,0,0,1,2,2,7.54
1,1,3,0,1,0,0,0,0,0,0,1,1,7.4
1,0,1,2,1,1,0,0,0,0,0,0,5,8.56
1,0,1,1,1,1,0,0,0,0,0,5,3,7.77
2,0,2,1,1,0,0,0,0,0,1,2,4,6.2
0,0,1,2,1,1,0,0,0,0,0,0,4,7.6
2,0,1,0,0,0,0,1,1,0,0,3,2,7.57
1,0,1,2,0,0,0,1,1,0,0,3,2,6.78
1,1,1,2,1,0,0,0,1,0,0,1,2,5.98
1,0,1,2,1,0,0,0,1,0,0,0,4,6.75
2,1,2,0,1,0,0,0,0,0,1,2,1,7.5
1,0,1,1,1,1,1,0,0,0,1,1,3,8.68
1,0,2,0,1,1,1,0,0,0,1,2,3,8.32
2,0,1,1,1,1,1,0,1,1,0,0,3,7.26
